year,word,frequency
1700,buprestid,0.0
1700,burbot,0.000514
1700,burgomaster,1.815226
1700,burmese,0.002565
1700,burramys,0.0
1700,burrfish,0.0
1700,burro,0.003657
1700,bushbaby,0.0
1700,bushbuck,0.0
1700,bushtit,0.0
1700,bushwren,0.0
1700,bustard,0.051864
1700,butcherbird,0.0
1700,buteonine,0.0
1700,butterfish,0.0
1700,butterfly,1.191739
1700,butterflyfish,0.0
1700,butterfree,0.0
1700,buttonquail,0.0
1700,buzzard,0.669167
1700,byakhee,0.0
1700,bycatch,0.000171
1700,byronosaurus,0.0
1700,byssus,0.0
1700,cabbageworm,0.0
1700,cabrilla,0.000736
1700,cacajao,0.0
1700,cachalot,0.0
1700,cachelot,0.0
1700,cacique,0.495073
1700,cackler,0.0
1700,cacomistle,0.0
1700,cadborosaurus,0.0
1700,caddisfly,0.0
1700,caddisworm,0.0
1700,caecilian,0.097329
1700,caenorhabditis,0.0
1700,cagebird,0.0
1700,cahow,0.0
1700,caiman,0.181335
1700,cairn,0.182602
1700,caladrius,0.0
1700,calf,13.925072
1700,callimico,0.0
1700,calomyscus,0.0
1700,calosoma,0.0
1700,calpe,0.057171
1700,cama,0.070021
1700,camarasaurus,0.0
1700,camel,5.878882
1700,camelopard,0.0
1700,camelotia,0.0
1700,campeloma,0.0
1700,camptosaurus,0.0
1700,canary,3.030218
1700,candiru,0.0
1700,candlefish,0.0
1700,canid,0.068308
1700,canidae,0.0
1700,canine,0.432528
1700,cankerworm,0.041929
1700,cantil,0.0
1700,canvasback,0.0
1700,capelin,0.0
1700,capercaillie,0.0
1700,caple,0.043758
1700,capon,0.918047
1700,capuchin,0.639097
1700,capybara,0.0
1700,carabao,0.001829
1700,caracal,0.22633
1700,caracara,0.005486
1700,carancha,0.0
1700,caraval,0.151773
1700,carbuncle,0.663434
1700,carcharodon,0.0
1700,carcharodontosaurus,0.0
1700,cardinal,52.158835
1700,cardinalfish,0.0
1700,cardinalis,0.119268
1700,caribou,0.0
1700,carinate,0.0
1700,carnivore,0.0
1700,carnosaurus,0.0
1700,carnotaurus,0.0
1700,carp,1.669018
1700,carpetshark,0.0
1700,carthorse,0.030849
1700,cascabel,0.0
1700,caseworm,0.0
1700,cassowary,0.000343
1700,castoroides,0.0
1700,cat,11.600596
1700,catagonus,0.0
1700,catalufa,0.0
1700,catamount,0.0
1700,catbear,0.0
1700,catbird,0.0
1700,caterpillar,1.377414
1700,catfish,0.030849
1700,catoblepas,0.0
1700,catostomid,0.0
1700,catshark,0.0
1700,cattalo,0.0
1700,cattle,18.936693
1700,caudipteryx,0.0
1700,cavador,0.0
1700,cavapoo,0.0
1700,cavefish,0.0
1700,cavy,0.000171
1700,caymen,0.0
1700,cebifrons,0.0
1700,cecropia,0.084887
1700,centipede,0.0
1700,centrolenid,0.0
1700,centrosaurus,0.0
1700,cephalaspis,0.0
1700,cephalochordate,0.0
1700,cephalopod,0.0
1700,ceras,0.001829
1700,ceratodus,0.0
1700,ceratopsian,0.0
1700,ceratosaurus,0.0
1700,cerberus,0.371089
1700,cercaria,0.0
1700,cero,0.145283
1700,cervid,0.0
1700,cetacean,0.0
1700,cetiosauriscus,0.0
1700,cetiosaurus,0.0
1700,cetus,0.04632
1700,chachalaca,0.001829
1700,chacma,0.0
1700,chaeropus,0.0
1700,chaetodon,0.0
1700,chafer,0.132876
1700,chaffinch,0.003657
1700,chaja,0.0
1700,chalicothere,0.0
1700,chalkydri,0.0
1700,chamaeleon,0.0
1700,chambo,0.0
1700,chameleon,0.082124
1700,chamois,0.159733
1700,chaoyangsaurus,0.0
1700,char,8.847659
1700,characin,0.0
1700,charizard,0.0
1700,charonosaurus,0.0
1700,chartreux,0.065865
1700,chasmosaurus,0.0
1700,cheagle,0.0
1700,cheetah,0.0
1700,chelicerate,0.0
1700,chelonian,0.0
1700,cherax,0.0
1700,cherrystone,0.031585
1700,chetah,0.0
1700,chevrotain,0.0
1700,chewink,0.0
1700,chialingosaurus,0.0
1700,chick,0.464743
1700,chickadee,0.0
1700,chicken,2.125243
1700,chickenhawk,0.0
1700,chickeree,0.0
1700,chickie,0.0
1700,chigetai,0.0
1700,chigger,0.0
1700,chigoe,0.0
1700,chihuahua,0.0
1700,chilantaisaurus,0.0
1700,chilihueque,0.0
1700,chilocorus,0.0
1700,chilopod,0.0
1700,chimaera,0.0717
1700,chimera,2.202479
1700,chimp,0.00607
1700,chimpanzee,0.030849
1700,chinch,0.263287
1700,chinchilla,0.0
1700,chindesaurus,0.0
1700,chinook,0.0
1700,chinshakiangosaurus,0.0
1700,chipit,0.0
1700,chipmunk,0.0
1700,chipoo,0.0
1700,chironomid,0.0
1700,chirostenotes,0.0
1700,chiru,0.0
1700,chital,0.0
1700,chiton,0.120134
1700,chiweenie,0.0
1700,choanocyte,0.0
1700,chordate,0.0
1700,chorioallantois,0.0
1700,chorion,0.19656
1700,chough,0.32691
1700,chousingha,0.0
1700,chow,0.0261
1700,chowchow,0.0
1700,chrysalis,0.061699
1700,chrysocyon,0.0
1700,chub,1.209499
1700,chubutisaurus,0.0
1700,chuckwalla,0.0
1700,chukar,0.0
1700,chunga,0.0
1700,chungkingosaurus,0.0
1700,chupacabra,0.0
1700,chuparrosa,0.0
1700,cicada,0.004171
1700,cicadidae,0.0
1700,cichlid,0.0
1700,cichlocolaptes,0.0
1700,ciliate,0.0
1700,cimex,0.000171
1700,cinnabar,0.113137
1700,cipactli,0.0
1700,cisco,0.0
1700,citipati,0.0
1700,civet,0.466856
1700,cladoceran,0.0
1700,clam,0.241151
1700,clamshell,0.0
1700,clanga,0.0
1700,claosaurus,0.0
1700,cleanerfish,0.0
1700,cleg,0.001829
1700,clingfish,0.0
1700,clinid,0.0
1700,clownfish,0.0
1700,clubshell,0.0
1700,clumber,0.128432
1700,clydesdale,0.022896
1700,cnidarian,0.0
1700,coachwhip,0.0
1700,coati,0.000171
1700,cob,0.584878
1700,cobia,0.0
1700,cobra,0.039029
1700,cochin,0.748003
1700,cochineal,0.082392
1700,cock,10.82568
1700,cockapoo,0.0
1700,cockateel,0.0
1700,cockatiel,0.0
1700,cockatoo,0.0
1700,cockatrice,0.524211
1700,cockchafer,0.0
1700,cockerel,0.000171
1700,cockle,1.723223
1700,cockroach,0.0
1700,cocoon,0.0
1700,cod,16.915075
1700,codfish,0.07674
1700,codling,0.109378
1700,coelacanth,0.0
1700,coelenterate,0.0
1700,coelophysis,0.0
1700,coelurus,0.0
1700,coenocorypha,0.0
1700,coho,0.0
1700,colilargo,0.0
1700,collembolan,0.0
1700,collie,0.001029
1700,colobus,0.0
1700,colocolo,0.0
1700,coloradisaurus,0.0
1700,colosteus,0.0
1700,colt,3.3176
1700,colubrid,0.0
1700,colugo,0.0
1700,comadreja,0.0
1700,comb,3.135148
1700,combshell,0.0
1700,compsognathus,0.0
1700,compy,0.012793
1700,concavenator,0.0
1700,conch,0.438072
1700,conchfish,0.0
1700,conchoraptor,0.0
1700,condor,0.050372
1700,conenose,0.0
1700,coney,0.441322
1700,confuciusornis,0.0
1700,conger,0.212219
1700,conilurus,0.0
1700,conodont,0.0
1700,constrictor,0.0
1700,conure,0.0
1700,conus,0.005898
1700,coon,0.473097
1700,coondog,0.0
1700,coonhound,0.0
1700,coot,0.295471
1700,cooter,0.001472
1700,cootie,0.0
1700,copepod,0.0
1700,copidosoma,0.0
1700,copper,15.87308
1700,copperhead,0.030849
1700,coqui,0.0
1700,coral,2.549181
1700,coralfish,0.0
1700,coralsnake,0.0
1700,corbina,0.0
1700,corella,0.0
1700,corgi,0.025701
1700,corkie,0.0
1700,cormorant,0.780219
1700,cornborer,0.0
1700,corncrake,0.0
1700,cornetfish,0.0
1700,correlophus,0.0
1700,coryphodon,0.0
1700,corythosaurus,0.0
1700,coscoroba,0.0
1700,costasiella,0.0
1700,cotinga,0.0
1700,cottonmouth,0.0
1700,cottontail,0.0
1700,cottonwick,0.0
1700,coua,0.014381
1700,coucal,0.0
1700,cougar,0.0
1700,courlan,0.0
1700,courser,1.111876
1700,cow,10.359961
1700,cowbird,0.0
1700,cowfish,0.0
1700,cowie,0.0
1700,cowrie,0.000171
1700,coydog,0.0
1700,coyote,0.0
1700,coyotl,0.0
1700,coypu,0.0
1700,coywolf,0.0
1700,crab,2.513238
1700,crabfish,0.0
1700,crake,0.001829
1700,crambid,0.0
1700,crane,1.645954
1700,crapaud,0.0
1700,crappie,0.0
1700,craseonycteris,0.0
1700,craw,0.238488
1700,crawdad,0.0
1700,crawfish,0.101071
1700,crayfish,0.007314
1700,creatonotos,0.0
1700,creature,164.39527
1700,creeper,0.137949
1700,cribo,0.0
1700,crichtonsaurus,0.0
1700,cricket,0.527145
1700,crinoid,0.0
1700,critter,0.000736
1700,croaker,0.031585
1700,croc,0.012793
1700,crocodile,3.88581
1700,crocodilian,0.0
1700,crocodilus,0.0
1700,crocodyle,0.0
1700,crocodylomorph,0.0
1700,crossbill,0.0
1700,crossopterygian,0.0
1700,crow,4.354447
1700,crowbait,0.0
1700,crowtheri,0.0
1700,crustacean,0.0
1700,cryolophosaurus,0.0
1700,cryptid,0.0
1700,cryptobranchus,0.0
1700,cryptoclidus,0.0
1700,cryptofauna,0.0
1700,cryptoprocta,0.0
1700,cryptosaurus,0.0
